pk;artist;title
1818;pink floyd;the wall disc 1
1823;Carlos Santana;Carlos
1828;Frans Bauer;'n ons geluk
1838;2Pac;Greatest Hits (CD1)
1884;Leon Redbone;Up a Lazy River
2026;Alkaline Trio;Goddamnit!
2110;Frans Bauer;Een Ons Geluk
2139;James Taylor;Greatest Hits Vol 1
2188;Estopa;Destrangis
2366;The Greenland Whalefishers;the mainstreet sword
2367;The Greenland Whalefishers;The Mainstreet Sword
2406;Francesco De Gegori;Alice non lo sa
2427;Cranberries;No Need to Argue
2440;Nando Reis;A Letra A
2571;Chayanne;Simplemente
2577;Jacky Tar;Defenestration
2581;Jacky Tar;Defenestration
2619;Shane Barnard;Psalms
2707;Bruce Dickinson;The Best Of Bruce Dickinson (DISC 1)
2771;Rechard Bona;Munia
2781;Gipsy Kings;Compas
2807;Combustible Edison;Schizophonic
2813;Corduroy;Out of Here
2819;Peter White;Promenade
2823;The Jazzmasters;The Jazzmasters4
2890;Nat King Cole;Vaya Con Dios
2891;Nat King Cole;En Espanol (Disk 1)
2950;Eros Ramazzotti;Donde Hay Musica
2957;Kenny G;The Moment
3086;The Drifters;Under The Boardwalk
3096;The Philosopher Kings;The Philosopher Kings
3106;Kenny G;The Moment
3123;Philosopher Kings;the Philosopher Kings
3125;Bjork;Vespertine
3134;Metallica;Metallica
3155;Corduroy;Out Of Here
3159;Manuel Barrueco;Nylon & Steel
3185;Glenn Miller;The Original Glenn Miller Reunion 1954
3192;Vanessa Williams;The Sweetest Days
3215;Greatest Hits?The Drifters;Under The Boardwalk
3222;LISA ONO;DREAM
3296;James Taylor;Greatest Hits
3356;Paul Oakenfold;Bunkka
3383;Ismael Serrano;Los paraísos desiertos
3395;The Crystal Method - Tweekend;The Crystal Method - Tweekend
3475;Rob Zombie;Hellbilly deluxe
3517;Die Krupps;Volle Kraft Voraus
3529;Los Caños;Agua De Luna
3539;Aqua;Aquarius
3670;Nirvana;Nevermind
3678;Kate Bush;The Kick Inside
3722;Radiohead;The Bends
3757;Depeche Mode;The singles 86-98 CD 2
3792;Placebo;Without You I'm Nothing
3793;faithless;outrospective remixes
3931;Shakespears Sister;Hormonally Yours
3976;Jay-Z: MTV Unplugged;Jay-Z: MTV Unplugged
3990;Grieg;Millenium Classics 5
4108;t.A.T.U.;200 Kmh In The Wrong Lane
4114;Los Caños;Agua De Luna
4124;Dido;No Angel - 192
4140;Bjork - Vespertine;Bjork - Vespertine
4145;Lou - X;La Realtà, la Lealtà e lo Scontro
4178;BoA;Next World
4179;Justin Timberlake;Justified
4184;garbage;beautifulgarbage
4190;Aqua;Aquarius
4266;Kate Bush;The Kick Inside
4271;James Taylor;James Taylor Greatest Hits
4282;La Oreja de Van Gogh;El viaje de Copperpot
4291;Britney Spears;Britney
4292;Q-Tip;Amplified
4297;Avril Lavigne;Let Go
4306;Avril Lavigne;Let Go
4348;Frank Zappa;Joe's Garage (Disk 1)
4358;Jay-Z;Vol.2... Hard Knock Life
4384;Robert Miles;Dreamland
4395;Marianne Faithfull;Blazing Away
4419;Jefferson Airplane;Surrealistic Pillow
4441;Nirvana;Nevermind
4451;å°?é‡Žãƒªã‚µ;DREAM
4481;Ruby;Salt Peter
4490;Tom Waits;Small Change
4508;Radiohead;OK Computer
4520;Shane Barnard and Shane Everett;Psalms
4563;the criystal method;tweekend
4586;Ministry;Power Department
4588;Fuse;Dimension Intrusion
4601;Alkaline Trio;From Here to Infirmiry
4613;Amy Grant;A Christmas to Remember
4631;Billy May - Glenn Miller Band;The Original Reunion Of The Glenn Miller Band
4676;Nelly Furtado;Whoa, Nelly!
4684;The Jazzmasters;The Jazzmasters 4
4709;globe;globe
4710;globe;globe
4732;Justin Timberlake;Justified
4774;F.U.S.E;Dimension Intrusion
4843;Jimmy Eat World;Bleed American
4851;Toni Braxton;The Heat
4876;Various Artists;International DeeJay Gigolos CD Five
4886;Luo - X;La realtà la lealtà e lo scont
4895;Faithless;Outrospective
4905;Britney Spears;Britney
4911;Justin Timberlake;Justified
4959;Deep Dish;Yoshiesque 2 (CD2)
4975;Mormon Tabernacle Choir;It's Christmas
4988;V mm l Spellemannslag;V mm l'n
5010;Caprice;Elvenmusic
5025;Lenine;Na Pressão
5052;divididos;la era de la boludez
5099;Disneyland;The Haunted Mansion: 30th Anniversary
5122;The Crystal Method;Tweekend
5185;Spineshank;The Height Of Callousness
5204;Foo Fighters;Foo Fighters
5205;Caprice (by VaroX);Elvenmusic
5238;Piratas;Ultrasonica
5324;Tracy Chapman;Tracy Chapman
5360;Molotov;¿Dónde jugaran las niñas?
5371;Console;Rocket in the Pocket
5392;Pe. Marcelo Rossi;Músicas para louvar ao Senhor
5394;Barenaked ladies;Maroon
5418;Barenaked Ladies;Maroon
5426;Alien Ant Farm;ANThology
5443;Nando Reis;A Letra A
5458;Richard Bona;Munia/The Tail
5477;The Cure;Disintegration
5542;Voodoo Glow Skulls;The Band Geek Mafia
5549;Superstars;United
5574;Savage Garden;Savage Garden
5577;AC DC;Ballbreaker
5657;Robert Miles;Dreamland
5664;IRON MAIDEN;The X Factor
5681;Robert Miles;Dreamland [BVCP-993]
5731;Tom Waits;Closing Time
5746;Nelly Furtado;Whoa, Nelly!
5754;Shakespears Sister;Hormonally Yours
5776;Cousteau;Sirena
5780;Années 80 #1;chant
5782;Années 80;instrumental
5830;Silicon Dream;Time Machine
5835;Fat Boy Slim;Halfway Between The Gutter And The Stars
5867;Heitor Villa-Lobos;Alma Brasileira
5889;Mormon Tabernacle Choir;It's Christmas
5912;Citizen Fish;Free Souls in a Trapped Environment
5921;Yothu Yindi;Tribal Voice
5959;Console;Rocket in the Pocket
5988;Cappella;U Got 2 Know
6102;Husker Du;Flip Your Wig
6116;Amy Grant;A Christmas To Remember
6162;Ub40;Homegrown
6174;Shane Barnard;Psalms
6210;METALLICA;METALLICA
6246;Beautiful World;In Existence
6272;The Beatles;Let It Be
6314;Lenny Kravitz;Lenny
6316;Clawfinger;Use Your Brain
6339;The Smithereens;A Date With The Smithereens
6354;Jethro Tull;Aqualung (24K Gold Disc)
6358;Pantera;Vulgar Display of Power
6374;Maxwell;NOW
6377;Depeche Mode;The Singles 86>98 (Disc 2)
6382;Staind;Break The Cycle
6398;Jay-Z;Vol.2...Hard Knock Life
6413;DEEP PURPLE;The Book Of Taliesyn (Remaster)
6423;Rush;8-16-02 Houston, TX - The Woodlands - Disc 1
6506;Eagle-Eye Cherry;Living In The Present Future
6547;Magnum;Sleepwalking
6562;Lifehouse;No Name Face
6568;Blues Traveler;Four
6620;Genesis;We can't dance
6663;The Strokes;Is This It?
6665;The Strokes;Is This It?
6690;Kate Bush;The Kick Inside
6695;Voodoo Glow Skulls;Band Geek Mafia
6716;Ruby;Salt Peter
6719;Radiohead;The Bends
6722;Sheena Easton;What Comes Naturally
6737;Dido;No Angel
6740;Ivy;Long Distance
6741;Magnum;Sleepwalking
6756;Finch;What it is to Burn
6761;Alien Ant Farm;anthology
6762;International DeeJay Gigolos CD Five;various Artists CD 1
6771;Phil Collins;Testify
6776;Jay-Z;MTV Unplugged
6788;Aerosmith;A Little South Of Sanity - Disc 1
6798;Depeche Mode;Exciter Tour Live In L.A 2001 Disc 1
6802;Madonna;Ray Of Light
6811;Ozzy Osbourne;Speak Of The Devil
6855;Lotte & Søren;Træk Din Kat I Halen
6858;Linkin park;Hibrid Theory
6919;Ill Niño;Revolution ...Revolucion
6922;Anouk;Urban Solitude
6925;Def Leppard;High 'n' Dry
6926;Def Leppard;High 'n' dry
6944;Ben Harper;The will to live
6948;David J;Songs From Another Season
6950;Garbage;Beautifulgarbage
6952;eagle eye cherry;Living In The Present Future (Japan edit)
6955;Paul Oakenfold;Bunkka
6969;Ismael Serrano;Los paraisos desiertos
6992;X Japan;Perfect Best (Disc 1)
7008;Bon Jovi;Bounce
7037;Dream Theater;Once In A Livetime - Disc 1
7061;The Descendents;ALL
7064;Combustible Edison;Schizophonic!
7072;SpineShank;The Height Of Callousnes
7075;Pink Floyd;The Wall (Disc 1)
7087;Rammstein;Sehnsucht
7094;Blind Guardian;Somewhere Far Beyond *
7121;Tom Waits;Small Change
7123;Kylie Minogue;Fever
7134;Bush;Sixteen Stone
7161;Natalie Imbruglia;Left Of The Middle
7170;Frank Zappa;Joe's Garage (Disc I)
7192;Judas Priest;Meltdown
7199;BoA;Next World
7201;Metallica;Reload
7211;Dream Theater;House of Blues, Chicago '97
7223;Pink Floyd;Out Of This World London 20-10-94 Disc 2
7237;Dream Theater;Once In A Livetime (Disc 1)
7288;Sex Pistols Tapes);We've Cum For Your Children (Wanted:  The Goodman Tapes)
7291;Francesco De Gregori;Alice non lo sa
7311;Clawfinger;Use Your Brain
7341;Skunk Anansie;Post Orgasmic Chill
7344;Add N To (X);Loud Like Nature
7346;Joe Cocker;Classics Volume 4
7347;Divididos;La Era De La Boludez
7350;Aerosmith;Permanent Vacation
7361;Third Eye Blind;Blue
7363;Graham Parker;The Parkerilla
7365;David J;Songs from Another Season
7367;Hanson;Middle Of Nowhere
7404;Matchbox Twenty;Mad Season
7405;Matchbox Twenty;Mad Season
7428;Rush (LIVE);Sin City Flames(Disc 1)
7429;Ozzy Osbourne;Talk Of The Devil
7460;The Beatles;Let It Be
7469;The Descendents;ALL
7483;Sex Pistols;We've Cum For Your Children (Wanted:  The Goodman Tapes)
7514;Foo Fighters;The Colour and the Shape
7515;Nirvana;Nevermind
7517;The Smithereens;A Date With The Smithereens
7525;Garbage;Version 2.0
7540;Live;Mental Jewelry
7542;Live;Mental Jewelry
7549;'La oreja de Van Gogh';'El Viaje de Copperton'
7562;Savage Garden;Savage Garden
7563;Aerosmith;a little south of sanity
7581;Marilyn Manson;Portrait of an american family
7599;Kraftwerk;The Mix
7604;Dire Straits;Money For Nothing
7605;æ??é‡Œ;OPUS 21 DISK1
7606;Böhse Onkelz;Viva Los Tioz
7614;Dream Theater;House of Blues, 11-1-97
7622;Genesis;We Can't Dance
7633;Ministry;Popwer Department
7644;Jefferson Airplane;Surrealistic Pillow
7653;Linkin Park;Hybrid Theroy
7664;R.E.M.;Reconstruction of the Fables
7671;Yello;Solid Pleasure
7707;Sheena Easton;What Comes Naturally
7708;Toni Braxton;The Heat
7719;Joe Cocker;Classics Volume 4
7722;Dido;No Angel
