pk;key;id;artist;title;category;genre;cdextra;year
1818;0;a30a390d;pink floyd;the wall disc 1;data;Data;ID3G: 254;
1823;1;a3107b0c;Carlos Santana;Carlos;data;;;
1828;2;a40cb80f;Frans Bauer;'n ons geluk;data;Other;;2004
1838;3;a70d080c;2Pac;Greatest Hits (CD1);data;Rap;YEAR: 1998 ID3G: 15;1998
1858;4;ab0cf90d;Ì¤ÃÎ;Ì¤ÃÎ;data;;;
1866;5;ad0bec0c;¼Ò¸®¿¤;Modern Worship Shema (½¦¸¶);data;CCM (Contemporary Christian Music);ID3G: 38;2002
1884;6;a008400c;Leon Redbone;Up a Lazy River;folk;R&B;;
2004;7;a20b090c;Ãéþñãïò Ôóáëßêçò;Áí ¹ìïõíá Ðáëéüðáéäï;folk;Folk;;
2026;8;a308210c;Alkaline Trio;Goddamnit!;folk;Indie;YEAR: 1998;1998
2110;9;a40cb80f;Frans Bauer;Een Ons Geluk;folk;Folk;;2003
2139;10;a50a430c;James Taylor;Greatest Hits Vol 1;folk;Folk/Rock;;1976
2187;11;a60a950d;²ÌÇÙ;ÎçÒ¹³¡;folk;Folk;;
2188;12;a60ad90d;Estopa;Destrangis;folk;;;
2252;13;a70f160c;Ìóðçèëêè International;Ìóðçèëêè +;folk;Russian Pop;;2003
2317;14;a909860e;Vømmøl Spellmannslag;Vømmøl'n;folk;Folk;YEAR: 1974 ID3G: 80;1974
2366;15;aa0a7f0d;The Greenland Whalefishers;the mainstreet sword;folk;Folk-Rock;;
2367;16;aa0a810d;The Greenland Whalefishers;The Mainstreet Sword;folk;Folk-Rock;YEAR: 1996 ID3G: 81;1996
2406;17;ab09900c;Francesco De Gegori;Alice non lo sa;folk;pop;;1973
2418;18;ab0a950d;²ÌÇÙ;ÎçÒ¹³¡;folk;Pop;;1995
2427;19;ab0bdd0d;Cranberries;No Need to Argue;folk;Pop-Folk;YEAR: 1994;1994
2440;20;ab0e3b0c;Nando Reis;A Letra A;folk;Pop;YEAR: 2003 ID3G: 13;2003
2530;21;ad0bec0c;¼Ò¸®¿¤;Shema;folk;Gospel;ID3G: 38;
2571;22;ae0cfd0d;Chayanne;Simplemente;folk;Latin;;1999
2577;23;ae0e160c;Jacky Tar;Defenestration;folk;Celtic;YEAR: 2002 ID3G: 88;2002
2581;24;ae0e490c;Jacky Tar;Defenestration;folk;Folk;;
2619;25;af0ca00c;Shane Barnard;Psalms;folk;Folk-Rock;;2001
2707;26;a10eea0d;Bruce Dickinson;The Best Of Bruce Dickinson (DISC 1);jazz;Metal;YEAR: 2001;2001
2771;27;a30c690b;Rechard Bona;Munia;jazz;Jazz;;2003
2781;28;a30da00d;Gipsy Kings;Compas;jazz;Latin;YEAR: 1997;1997
2807;29;a409020d;Combustible Edison;Schizophonic;jazz;Jazz;;1996
2813;30;a40b200d;Corduroy;Out of Here;jazz;;;
2819;31;a40c3b0b;Peter White;Promenade;jazz;Jazz;;1993
2823;32;a40d2f0e;The Jazzmasters;The Jazzmasters4;jazz;;;
2890;33;a609550f;Nat King Cole;Vaya Con Dios;jazz;jazz;;
2891;34;a609560f;Nat King Cole;En Espanol (Disk 1);jazz;;;
2950;35;a70d7f0c;Eros Ramazzotti;Donde Hay Musica;jazz;Ballad;;1996
2957;36;a70ef00c;Kenny G;The Moment;jazz;Jazz;;
3086;37;ab07fc0e;The Drifters;Under The Boardwalk;jazz;Other;ID3G: 12;
3096;38;ab0c630c;The Philosopher Kings;The Philosopher Kings;jazz;;;
3106;39;ab0edd0c;Kenny G;The Moment;jazz;Jazz;YEAR: 1996 ID3G: 8;1996
3123;40;ac0c630c;Philosopher Kings;the Philosopher Kings;jazz;;;
3125;41;ac0d240c;Bjork;Vespertine;jazz;;;
3134;42;ac0ead0c;Metallica;Metallica;jazz;Heavy Metal;;1991
3155;43;ad0b1e0d;Corduroy;Out Of Here;jazz;Acid Jazz;ID3G:   8;1995
3159;44;ad0c080d;Manuel Barrueco;Nylon & Steel;jazz;Jazz;;2001
3185;45;ae09d90d;Glenn Miller;The Original Glenn Miller Reunion 1954;jazz;;;
3192;46;ae0c400c;Vanessa Williams;The Sweetest Days;jazz;Pop;;1995
3215;47;af07ef0e;Greatest Hits?The Drifters;Under The Boardwalk;jazz;Oldies;;
3222;48;af0a7d0d;LISA ONO;DREAM;jazz;;;
3296;49;a00a430c;James Taylor;Greatest Hits;misc;Easy Listening;;1976
3356;50;a00c200b;Paul Oakenfold;Bunkka;misc;Dance;;2002
3383;51;a00db40c;Ismael Serrano;Los paraísos desiertos;misc;Canción de autor;;2000
3395;52;a00efd0b;The Crystal Method - Tweekend;The Crystal Method - Tweekend;misc;;;
3475;53;a108810c;Rob Zombie;Hellbilly deluxe;misc;;;
3517;54;a10b280c;Die Krupps;Volle Kraft Voraus;misc;;;
3529;55;a10b920d;Los Caños;Agua De Luna;misc;Pop;;2002
3539;56;a10c230d;Aqua;Aquarius;misc;Other;YEAR: 2000;2000
3670;57;a209c80c;Nirvana;Nevermind;misc;Grunge;;
3678;58;a20a200d,a50a200d;Kate Bush;The Kick Inside;misc;Rhythmic Soul;YEAR: 1978;1978
3710;59;a20b090c;Ãéþñãïò Ôóáëßêçò;Áí Þìïõíá ðáëéüðáéäï;misc;;;
3722;60;a20b660c;Radiohead;The Bends;misc;Other;ID3G:  12;1995
3757;61;a20d160b;Depeche Mode;The singles 86-98 CD 2;misc;Electronic;YEAR: 1998;1998
3792;62;a20f7f0c;Placebo;Without You I'm Nothing;misc;;;
3793;63;a20f8d0c;faithless;outrospective remixes;misc;Dance;;2003
3851;64;a308940c;LOTTE OG SØREN;Træk din kat i halen;misc;;;
3931;65;a30bba0c;Shakespears Sister;Hormonally Yours;misc;;;
3976;66;a30dac0d;Jay-Z: MTV Unplugged;Jay-Z: MTV Unplugged;misc;;;
3990;67;a30e9b0b;Grieg;Millenium Classics 5;misc;Classical;;
4108;68;a40b670c;t.A.T.U.;200 Kmh In The Wrong Lane;misc;Other;YEAR: 2002 ID3G:  12;2002
4114;69;a40b920d;Los Caños;Agua De Luna;misc;Pop;;2002
4124;70;a40c350c;Dido;No Angel - 192;misc;Pop général;;
4140;71;a40cf50c;Bjork - Vespertine;Bjork - Vespertine;misc;;;
4145;72;a40d380d;Lou - X;La Realtà, la Lealtà e lo Scontro;misc;Rap;Hip-Hop;1998
4178;73;a40ebf0d;BoA;Next World;misc;JPop;YEAR: 2003;2003
4179;74;a40ecc0d;Justin Timberlake;Justified;misc;Pop;;2002
4184;75;a40f510e;garbage;beautifulgarbage;misc;;;
4190;76;a40fb30d;Aqua;Aquarius;misc;Rock;www.aqua.dk;2000
4266;77;a20a200d,a50a200d;Kate Bush;The Kick Inside;misc;Rhythmic Soul;YEAR: 1978;1978
4271;78;a50a430c;James Taylor;James Taylor Greatest Hits;misc;Swing;YEAR: 1976 ID3G:  83;1976
4282;79;a50ae50c;La Oreja de Van Gogh;El viaje de Copperpot;misc;Pop;;
4291;80;a50b100e;Britney Spears;Britney;misc;Popular;;2001
4292;81;a50b270c;Q-Tip;Amplified;misc;Hip-Hop;;1999
4297;82;a50b630d;Avril Lavigne;Let Go;misc;Rock;That's the right one.;2002
4306;83;a50bc90d;Avril Lavigne;Let Go;misc;Rock/Pop;;
4348;84;a50dba0c;Frank Zappa;Joe's Garage (Disk 1);misc;Rock;;1979
4358;85;a00e780e,a50e770e;Jay-Z;Vol.2... Hard Knock Life;misc;Hip-Hop;;1998
4384;86;a510790b;Robert Miles;Dreamland;misc;;;
4395;87;a511050d;Marianne Faithfull;Blazing Away;misc;Ballad;;1990
4419;88;a6082d0b;Jefferson Airplane;Surrealistic Pillow;misc;Rock;YEAR: 1967\nMarty Balin - guitar, vocals\nJorma Kaukonen - lead guitar,;1967
4441;89;a609fc0c;Nirvana;Nevermind;misc;Grunge;YEAR: 1991;1991
4451;90;a60a7d0d;å°?é‡Žãƒªã‚µ;DREAM;misc;Japanese Unclassifiable;;
4481;91;a60b5e0b;Ruby;Salt Peter;misc;Other;;1995
4490;92;a60bb80b;Tom Waits;Small Change;misc;Jazz;;1976
4508;93;a60c850c;Radiohead;OK Computer;misc;Pop;;1997
4520;94;a60d3b0d;Shane Barnard and Shane Everett;Psalms;misc;Misc;;2002
4563;95;a610290b;the criystal method;tweekend;misc;Electronic;;2001
4586;96;a611cc0d;Ministry;Power Department;misc;Industrial;Live in Omaha 1990;1992
4588;97;a611f70d;Fuse;Dimension Intrusion;misc;;;
4601;98;a708480c;Alkaline Trio;From Here to Infirmiry;misc;;;
4613;99;a7091b0b;Amy Grant;A Christmas to Remember;misc;Holiday;Featuring Patrick Williams and his Orchestra and Ronn Huff and the Nashville Studio Orchestra;1999
4631;100;a70a370d;Billy May - Glenn Miller Band;The Original Reunion Of The Glenn Miller Band;misc;Big Band;YEAR: 1986;1986
4676;101;a70be90c;Nelly Furtado;Whoa, Nelly!;misc;Undefined;;2000
4684;102;a70c390d;The Jazzmasters;The Jazzmasters 4;misc;Jazz / Smooth;YEAR: 2003;2003
4709;103;a70d600c;globe;globe;misc;;;
4710;104;a70d610c;globe;globe;misc;misc;;
4732;105;a70f0b0d;Justin Timberlake;Justified;misc;R&B;YEAR: 2002 ID3G: 14;2002
4733;106;a70f160c;Ìóðçèëêè International;Ìóðçèëêè +;misc;Russian Pop;;2003
4774;107;a7120d0d;F.U.S.E;Dimension Intrusion;misc;;Ritchie Hawtin's (aka plastikman) first album.\n;
4804;108;a809490c;Bu³at Okud¿awa;¯yczenia dla przyjació³;misc;;Nagrañ dokonano podczas 12-go Przegl±du Piosenki Aktorskiej;
4843;109;a80b090b;Jimmy Eat World;Bleed American;misc;Alt Rock;YEAR: 2001;2001
4851;110;a80b8e0c;Toni Braxton;The Heat;misc;;;
4876;111;a80cd80c;Various Artists;International DeeJay Gigolos CD Five;misc;Electronic;YEAR: 2001 ID3G:  52;2001
4886;112;a80d370d;Luo - X;La realtà la lealtà e lo scont;misc;Rap;Hip-Hop;1998
4895;113;a80d960c;Faithless;Outrospective;misc;other;;2001
4905;114;a80e690e;Britney Spears;Britney;misc;Pop;;2001
4911;115;a80f040d;Justin Timberlake;Justified;misc;Other;ID3G:  12;
4959;116;a812730c;Deep Dish;Yoshiesque 2 (CD2);misc;Dance;;2001
4975;117;a908990d;Mormon Tabernacle Choir;It's Christmas;misc;Christmas;YEAR: 1989;1989
4988;118;a909860e;V mm l Spellemannslag;V mm l'n;misc;;;
5010;119;a90ac60c;Caprice;Elvenmusic;misc;;;
5025;120;a90b630b;Lenine;Na Pressão;misc;;;
5052;121;a90c120e;divididos;la era de la boludez;misc;Rock;;
5099;122;a90dee0c;Disneyland;The Haunted Mansion: 30th Anniversary;misc;Theme Park;;1999
5122;123;a90f160b;The Crystal Method;Tweekend;misc;Techno;;
5185;124;aa099a0c;Spineshank;The Height Of Callousness;misc;Industrial;;
5204;125;aa0ac40d;Foo Fighters;Foo Fighters;misc;Grunge;ID3G: 6;
5205;126;aa0ac60c;Caprice (by VaroX);Elvenmusic;misc;;;
5238;127;aa0c6a0d;Piratas;Ultrasonica;misc;;;
5289;128;aa11221c;KBS;KBS TV¸¸È­¿µÈ­ ³ë·¡¸ðÀ½;misc;Soundtrack;KBS TV Animation Songs;2000
5324;129;ab08640b;Tracy Chapman;Tracy Chapman;misc;;;1988
5360;130;ab0a7a0c;Molotov;¿Dónde jugaran las niñas?;misc;;;1997
5371;131;ab0af319;Console;Rocket in the Pocket;misc;;;
