febrl1_id;febrl2_id;id
0;50307;0
1;19504;1
1;116062;2
2;77990;3
4;23143;4
4;77253;5
6;64002;6
8;28480;7
8;62187;8
10;51681;9
10;128444;10
15;79790;11
15;107746;12
20;95728;13
20;108863;14
21;28207;15
21;40718;16
24;123175;17
24;129037;18
27;107601;19
28;10359;20
28;63383;21
30;13917;22
33;49925;23
33;128691;24
39;36681;25
39;88647;26
40;31288;27
40;75322;28
41;93037;29
43;112323;30
47;79280;31
47;88665;32
51;103583;33
52;33022;34
52;123874;35
55;84024;36
55;101399;37
56;32595;38
58;51889;39
59;15292;40
59;81946;41
64;53328;42
67;40110;43
67;74276;44
69;127594;45
69;128343;46
73;91615;47
73;100678;48
75;34188;49
75;46024;50
77;56621;51
77;60657;52
79;24963;53
79;70536;54
80;10779;55
80;98405;56
82;19012;57
84;84889;58
87;49765;59
87;95875;60
88;58916;61
89;37388;62
93;56680;63
93;86614;64
94;30340;65
94;64893;66
99;52691;67
99;105418;68
100;30584;69
100;92587;70
106;6175;71
106;112737;72
111;31612;73
111;34785;74
115;52088;75
115;79601;76
117;63424;77
118;18873;78
118;96839;79
119;68031;80
124;30843;81
128;26135;82
128;126757;83
132;3726;84
132;58025;85
134;8342;86
134;82414;87
136;90449;88
136;126041;89
137;82097;90
137;90425;91
138;39185;92
139;13009;93
139;14134;94
141;105505;95
141;116154;96
146;12141;97
146;91723;98
147;62865;99
147;95236;100
150;88666;101
150;121985;102
151;5087;103
151;43278;104
152;52671;105
152;128542;106
155;16677;107
156;117127;108
158;2265;109
158;84517;110
160;67742;111
160;111146;112
162;25589;113
167;74524;114
168;35149;115
168;99595;116
170;99184;117
171;28892;118
171;114167;119
173;18559;120
173;41212;121
174;5969;122
174;122690;123
178;40781;124
178;127704;125
179;14254;126
179;114906;127
181;76385;128
181;114401;129
185;2043;130
189;110246;131
190;12637;132
190;106963;133
192;19428;134
194;97195;135
195;60641;136
195;128902;137
200;32417;138
200;117588;139
201;1495;140
201;13007;141
202;28652;142
202;60660;143
204;40601;144
204;95606;145
206;51878;146
211;14969;147
211;22291;148
213;40933;149
213;46019;150
220;32289;151
220;65700;152
224;60200;153
224;69999;154
226;13389;155
229;58699;156
229;127443;157
230;8416;158
231;27924;159
232;5619;160
237;60547;161
237;65034;162
241;30655;163
242;29582;164
243;1046;165
243;112246;166
244;81489;167
248;44436;168
248;55454;169
256;21454;170
260;30699;171
261;77778;172
264;1506;173
264;50764;174
265;93884;175
269;66349;176
269;110100;177
275;116849;178
281;47097;179
282;2476;180
282;129711;181
283;1864;182
283;58061;183
284;33379;184
284;67047;185
285;68703;186
285;110057;187
290;51422;188
290;119990;189
293;1334;190
293;81212;191
296;18399;192
296;30653;193
297;61824;194
298;8141;195
298;129064;196
300;121608;197
303;17097;198
303;22550;199
304;101643;200
305;92065;201
307;45490;202
308;87665;203
308;127866;204
309;40455;205
310;45957;206
312;116126;207
312;125077;208
314;13991;209
314;110000;210
316;111037;211
317;69194;212
324;52941;213
324;83956;214
326;38323;215
331;68783;216
331;69927;217
334;49477;218
334;68580;219
337;87413;220
337;117064;221
338;1194;222
338;6463;223
343;44886;224
343;59401;225
348;129612;226
349;67801;227
349;119314;228
350;95252;229
351;991;230
352;9553;231
352;61875;232
357;71553;233
357;73265;234
358;17837;235
358;99964;236
361;44148;237
362;76804;238
364;62617;239
364;103542;240
366;3814;241
367;112791;242
371;47480;243
374;5800;244
375;33011;245
375;79562;246
377;75811;247
377;78531;248
381;19631;249
381;63583;250
385;97613;251
386;37950;252
386;108291;253
387;12044;254
387;27992;255
389;46854;256
389;57007;257
395;31079;258
395;50684;259
398;83468;260
398;83482;261
401;16842;262
401;86874;263
402;78422;264
402;98989;265
404;16233;266
404;88781;267
408;39811;268
410;35618;269
410;70597;270
415;107994;271
420;107982;272
420;123757;273
422;9515;274
422;42671;275
423;95500;276
424;74270;277
430;84116;278
437;61340;279
437;78583;280
439;10983;281
439;67451;282
440;67023;283
442;3098;284
445;39660;285
445;113117;286
450;69525;287
450;83488;288
452;68467;289
452;116549;290
453;17485;291
453;113323;292
454;29046;293
457;51122;294
457;104348;295
458;56431;296
458;64956;297
467;25033;298
470;95235;299
470;113895;300
471;49250;301
473;65822;302
473;118674;303
477;58538;304
481;47296;305
483;73876;306
483;90596;307
489;71122;308
490;9401;309
490;48010;310
491;31949;311
491;106349;312
494;102979;313
494;116037;314
505;41602;315
505;122455;316
506;125078;317
509;21176;318
509;118606;319
512;109057;320
514;64499;321
515;87054;322
517;4137;323
523;45734;324
524;62387;325
528;26027;326
530;29806;327
530;45928;328
532;55683;329
532;66033;330
533;64519;331
539;92595;332
539;105182;333
547;10568;334
547;82643;335
552;118585;336
553;88375;337
553;126121;338
555;66608;339
558;126278;340
559;122653;341
560;35189;342
568;7746;343
568;88130;344
572;98465;345
