cluster;id;author;volume;title;institution;venue;address;publisher;year;pages;editor;note;month;class
1;16112;a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.;;weakly learning dnf and characterizing statistical query learning using fourier analysis.;;in proceedings of the 26th acm symposium on the theory of computing.;new york, ny,;acm press,;1994.;;;;;blum1994
1;16117;a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.;;weakly learning dnf and characterizing statistical query learning using fourier analysis.;;in proceedings of twenty-sixth acm symposium on theory of computing,;;;1994.;;;;;blum1994
2;16105;a. blum, m. furst, m. j. kearns, and richard j. lipton.;;cryptographic primitives based on hard learning problems.;;in pre-proceedings of crypto 93,;;;1993.;pages 24.1-24.10,;;;;blum1993
2;16108;a. blum, m. furst, m. kearns, r. lipton.;;cryptographic primitives based on hard learning problems.;;crypto,;;;1993.;;;;;blum1993
4;16266;a. ehrenfeucht, d. haussler, m. j. kearns and l. g. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;;ehrenfeucht1989
4;16270;a. ehrenfeucht, d. haussler, m. j. kearns, and l. valiant.;;a general lower bound on the number of examples needed for learning. information and computation,;;;82:247261,;;1989.;;;;;ehrenfeucht1989
4;16237;a. ehrenfeucht, d. haussler, m. kearns and l. g. valiant,;;a general lower bound on the number of examples needed for learning,;;in: proceedings of the first workshop on computational learning theory (morgan kaufmann,;san mateo, ca,;;1988),;;;139-154.,ehrenfeucht1988;;ehrenfeucht1988
4;16235;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;;a general lower bound on the number of examples needed for learning.;university of california, computer research laboratory,;technical report ucsc-crl-87-26,;santa cruz, ca,;;1988.;;;;jan-uary,ehrenfeucht1988;ehrenfeucht1988
4;16236;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;;a general lower bound on the number of examples needed for learning.;;in colt 88: proceedings of the conference on learning,;los altos, ca, 1988.;morgan-kaufmann.;;pages 110-120,;;;;ehrenfeucht1988
4;16239;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;;a general lower bound on the number of examples needed for learning.;;proc. of the 1988 workshop on computational learning theory,;san jose, 1988.;morgan kaufmann.;;;in d. haussler and l. pitt, editors,;;;ehrenfeucht1988
4;16241;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82;a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-261,;;;;ehrenfeucht1989
4;16243;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;;ehrenfeucht1989
4;16244;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;inf. and computation,;;;1989.;247-266,;;;;ehrenfeucht1989
4;16254;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82 (3) (1989);a general lower bound on the number of examples needed for learning,;;information and computation,;;;;247-261.,;;;ehrenfeucht1989;ehrenfeucht1989
4;16262;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82;a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-261,;;;;ehrenfeucht1989
